Player,REC,TGT,REC PCT,YDS,Y/R,TD,TGT PCT,ATT,YDS.1,TD.1,PCT,FL,G,POS
Allen Robinson II (NYG),1.0,4.0,25.0%,-1.0,-1.0,0.0,18.2%,0.0,0.0,0.0,0.0%,0.0,17.0,WR
Treylon Burks (TEN),1.0,1.0,100.0%,1.0,1.0,0.0,3.8%,1.0,-3.0,0.0,33.3%,0.0,11.0,WR
Zach Pascal (ARI),1.0,3.0,33.3%,-4.0,-4.0,0.0,12.0%,0.0,0.0,0.0,0.0%,0.0,14.0,WR
Christian Kirk (JAC),3.0,6.0,50.0%,16.0,5.3,0.0,13.0%,0.0,0.0,0.0,0.0%,1.0,12.0,WR
Samori Toure (GB),1.0,2.0,50.0%,-6.0,-6.0,0.0,3.2%,0.0,0.0,0.0,0.0%,0.0,11.0,WR
Marvin Jones Jr. (FA),1.0,2.0,50.0%,3.0,3.0,0.0,4.4%,0.0,0.0,0.0,0.0%,1.0,6.0,WR
,,,,,,,,,,,,,,WR
,,,,,,,,,,,,,,WR
Sam LaPorta (DET),10.0,15.0,66.7%,91.0,9.1,7.0,93.8%,0.0,0.0,0.0,0%,0.0,17.0,TE
Mark Andrews (BAL),10.0,14.0,71.4%,77.0,7.7,6.0,60.9%,1.0,0.0,0.0,100.0%,0.0,10.0,TE
Taysom Hill (NO),2.0,5.0,40.0%,10.0,5.0,1.0,22.7%,27.0,102.0,4.0,100.0%,1.0,16.0,TE
Jake Ferguson (DAL),12.0,24.0,50.0%,92.0,7.7,5.0,75.0%,0.0,0.0,0.0,0.0%,0.0,17.0,TE
Dalton Schultz (HOU),7.0,14.0,50.0%,80.0,11.4,5.0,70.0%,0.0,0.0,0.0,0.0%,0.0,15.0,TE
Cole Kmet (CHI),10.0,13.0,76.9%,61.0,6.1,5.0,76.5%,1.0,1.0,0.0,100.0%,0.0,17.0,TE
Travis Kelce (KC),13.0,20.0,65.0%,74.0,5.7,5.0,83.3%,0.0,0.0,0.0,0.0%,1.0,15.0,TE
Hunter Henry (NE),5.0,6.0,83.3%,53.0,10.6,5.0,54.5%,0.0,0.0,0.0,0%,0.0,14.0,TE
T.J. Hockenson (MIN),9.0,14.0,64.3%,58.0,6.4,4.0,60.9%,0.0,0.0,0.0,0%,0.0,15.0,TE
Cade Otton (TB),8.0,11.0,72.7%,58.0,7.3,4.0,78.6%,0.0,0.0,0.0,0%,0.0,17.0,TE
Donald Parham Jr. (LAC),6.0,10.0,60.0%,35.0,5.8,4.0,43.5%,0.0,0.0,0.0,0%,0.0,14.0,TE
